month,ipca_monthly_percent,price_index
1994-06-01,47.43,100
1994-07-01,6.84,106.84
1994-08-01,1.86,108.827224
1994-09-01,1.53,110.4922805272
1994-10-01,2.62,113.387178277013
1994-11-01,2.81,116.573357986597
1994-12-01,1.71,118.566762408168
