era,country,date,monthly_inflation_percent,price_index,price_measure,source_id
Before 1960,Austria,1921-02-01,14,114,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1921-03-01,7.017544,122,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1921-04-01,-4.918033,116,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1921-05-01,4.310345,121,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1921-06-01,23.966942,150,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1921-07-01,-4.666667,143,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1921-08-01,16.783217,167,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1921-09-01,28.742515,215,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1921-10-01,54.883721,333,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1921-11-01,69.96997,566,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1921-12-01,66.431095,942,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1922-01-01,21.231423,1142,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1922-02-01,25.043783,1428,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1922-03-01,2.030812,1457,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1922-04-01,11.118737,1619,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1922-05-01,25.262508,2028,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1922-06-01,69.18146,3431,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1922-07-01,40.775284,4830,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1922-08-01,128.695652,11046,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1922-09-01,81.875792,20090,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1922-10-01,-7.580886,18567,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1922-11-01,-4.771907,17681,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1922-12-01,-1.538375,17409,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1923-01-01,0.672066,17526,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1923-02-01,1.854388,17851,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1923-03-01,1.983082,18205,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1923-04-01,6.717935,19428,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1923-05-01,5.260449,20450,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1923-06-01,0.156479,20482,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1923-07-01,-5.438922,19368,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1923-08-01,-4.424824,18511,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1923-09-01,13.20296,20955,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1923-10-01,1.00692,21166,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1923-11-01,1.478787,21479,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1923-12-01,1.722613,21849,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1924-01-01,4.99794,22941,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1924-02-01,1.721808,23336,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1924-03-01,0,23336,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1924-04-01,0.107131,23361,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1924-05-01,1.866358,23797,"Retail price index, 52 commodities",sargent_1982
Before 1960,Austria,1924-06-01,1.975039,24267,"Retail price index, 52 commodities",sargent_1982
