era,country,date,monthly_inflation_percent,price_index,price_measure,source_id
Before 1960,Poland,1921-02-01,26.604081,31827,Wholesale price index,sargent_1982
Before 1960,Poland,1921-03-01,3.314796,32882,Wholesale price index,sargent_1982
Before 1960,Poland,1921-04-01,-3.56426,31710,Wholesale price index,sargent_1982
Before 1960,Poland,1921-05-01,2.929675,32639,Wholesale price index,sargent_1982
Before 1960,Poland,1921-06-01,8.434695,35392,Wholesale price index,sargent_1982
Before 1960,Poland,1921-07-01,28.995253,45654,Wholesale price index,sargent_1982
Before 1960,Poland,1921-08-01,16.309633,53100,Wholesale price index,sargent_1982
Before 1960,Poland,1921-09-01,13.376648,60203,Wholesale price index,sargent_1982
Before 1960,Poland,1921-10-01,8.863346,65539,Wholesale price index,sargent_1982
Before 1960,Poland,1921-11-01,-10.613528,58583,Wholesale price index,sargent_1982
Before 1960,Poland,1921-12-01,-2.623628,57046,Wholesale price index,sargent_1982
Before 1960,Poland,1922-01-01,3.830242,59231,Wholesale price index,sargent_1982
Before 1960,Poland,1922-02-01,7.114518,63445,Wholesale price index,sargent_1982
Before 1960,Poland,1922-03-01,15.793207,73465,Wholesale price index,sargent_1982
Before 1960,Poland,1922-04-01,2.233717,75106,Wholesale price index,sargent_1982
Before 1960,Poland,1922-05-01,4.697361,78634,Wholesale price index,sargent_1982
Before 1960,Poland,1922-06-01,11.521734,87694,Wholesale price index,sargent_1982
Before 1960,Poland,1922-07-01,15.842589,101587,Wholesale price index,sargent_1982
Before 1960,Poland,1922-08-01,33.664741,135786,Wholesale price index,sargent_1982
Before 1960,Poland,1922-09-01,12.209653,152365,Wholesale price index,sargent_1982
Before 1960,Poland,1922-10-01,32.13402,201326,Wholesale price index,sargent_1982
Before 1960,Poland,1922-11-01,36.915749,275647,Wholesale price index,sargent_1982
Before 1960,Poland,1922-12-01,25.650923,346353,Wholesale price index,sargent_1982
Before 1960,Poland,1923-01-01,57.264409,544690,Wholesale price index,sargent_1982
Before 1960,Poland,1923-02-01,57.724577,859110,Wholesale price index,sargent_1982
Before 1960,Poland,1923-03-01,15.060935,988500,Wholesale price index,sargent_1982
Before 1960,Poland,1923-04-01,7.123925,1058920,Wholesale price index,sargent_1982
Before 1960,Poland,1923-05-01,6.273373,1125350,Wholesale price index,sargent_1982
Before 1960,Poland,1923-06-01,67.184432,1881410,Wholesale price index,sargent_1982
Before 1960,Poland,1923-07-01,63.173896,3069970,Wholesale price index,sargent_1982
Before 1960,Poland,1923-08-01,72.466832,5294680,Wholesale price index,sargent_1982
Before 1960,Poland,1923-09-01,37.915795,7302200,Wholesale price index,sargent_1982
Before 1960,Poland,1923-10-01,274.964805,27380680,Wholesale price index,sargent_1982
Before 1960,Poland,1923-11-01,148.144677,67943700,Wholesale price index,sargent_1982
Before 1960,Poland,1923-12-01,109.439139,142300700,Wholesale price index,sargent_1982
Before 1960,Poland,1924-01-01,70.180259,242167700,Wholesale price index,sargent_1982
Before 1960,Poland,1924-02-01,2.58577,248429600,Wholesale price index,sargent_1982
Before 1960,Poland,1924-03-01,-1.268649,245277900,Wholesale price index,sargent_1982
Before 1960,Poland,1924-04-01,-1.205204,242321800,Wholesale price index,sargent_1982
