country,year,ppp_version,welfare_type,reporting_level,percentile,country_code,avg,share,thr,pop
Brazil,2022,2021,income,national,10,BRA,4.48469877243042,0.18480861326679587,4.625301361083984,2103064.25
Brazil,2022,2021,income,national,50,BRA,14.721363067626953,0.606648251414299,14.832871437072754,2103064.25
Brazil,2022,2021,income,national,90,BRA,47.630882263183594,1.9628068432211876,49.11759567260742,2103064.25
Brazil,2022,2021,income,national,99,BRA,140.54638671875,5.791734158992767,167.12278747558594,2103064.25
China,2022,2021,consumption,national,10,CHN,6.201693058013916,0.3624750068411231,6.293736934661865,14121750.0
China,2022,2021,consumption,national,50,CHN,13.261112213134766,0.7750821299850941,13.363155364990234,14121750.0
China,2022,2021,consumption,national,90,CHN,30.406055450439453,1.7771655693650246,31.035911560058594,14121750.0
China,2022,2021,consumption,national,99,CHN,65.60140228271484,3.8342542946338654,74.60707092285156,14121750.0
Germany,2022,2021,income,national,10,DEU,27.488311767578125,0.36245358642190695,28.437618255615234,831778.125
Germany,2022,2021,income,national,50,DEU,63.82918930053711,0.841634813696146,64.17733764648438,831778.125
Germany,2022,2021,income,national,90,DEU,125.9426040649414,1.6606459394097328,127.85857391357422,831778.125
Germany,2022,2021,income,national,99,DEU,240.02854919433594,3.1649529933929443,279.8145446777344,831778.125
India,2022,2021,consumption,national,10,IND,3.359099864959717,0.5285682156682014,3.399099349975586,14327581.0
India,2022,2021,consumption,national,50,IND,5.507511615753174,0.8666296489536762,5.536495208740234,14327581.0
India,2022,2021,consumption,national,90,IND,9.83145523071289,1.5470200218260288,9.976807594299316,14327581.0
India,2022,2021,consumption,national,99,IND,17.466106414794922,2.7483638375997543,19.560606002807617,14327581.0
United States,2022,2021,income,national,10,USA,24.554468154907227,0.2729803789407015,25.129627227783203,3340173.25
United States,2022,2021,income,national,50,USA,67.14877319335938,0.7465157192200422,67.7236099243164,3340173.25
United States,2022,2021,income,national,90,USA,169.65054321289062,1.8860628828406334,172.98831176757812,3340173.25
United States,2022,2021,income,national,99,USA,366.5625915527344,4.075200855731964,414.3251037597656,3340173.25
