era,country,date,monthly_inflation_percent,price_index,price_measure,source_id
1960 onward,Argentina,1985-02-01,20.698408,0.00072273,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1985-03-01,26.478768,0.0009141,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1985-04-01,29.474893,0.00118353,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1985-05-01,25.085127,0.00148042,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1985-06-01,30.535929,0.00193248,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1985-07-01,6.187386,0.00205205,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1985-08-01,3.073025,0.00211511,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1985-09-01,1.992804,0.00215726,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1985-10-01,1.939034,0.00219909,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1985-11-01,2.370981,0.00225123,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1985-12-01,3.175597,0.00232272,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1986-01-01,3.024041,0.00239296,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1986-02-01,1.696226,0.00243355,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1986-03-01,4.643833,0.00254656,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1986-04-01,4.732266,0.00266707,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1986-05-01,4.026516,0.00277446,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1986-06-01,4.54611,0.00290059,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1986-07-01,6.770002,0.00309696,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1986-08-01,8.780223,0.00336888,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1986-09-01,7.228218,0.00361239,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1986-10-01,6.058316,0.00383124,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1986-11-01,5.296458,0.00403416,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1986-12-01,4.736302,0.00422523,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1987-01-01,7.579942,0.0045455,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1987-02-01,6.456935,0.004839,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1987-03-01,8.257905,0.0052386,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1987-04-01,3.336769,0.0054134,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1987-05-01,4.152658,0.0056382,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1987-06-01,8.029158,0.0060909,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1987-07-01,10.09703,0.0067059,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1987-08-01,13.734174,0.0076269,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1987-09-01,11.66529,0.0085166,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1987-10-01,19.575887,0.0101838,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1987-11-01,10.269251,0.0112296,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1987-12-01,3.391928,0.0116105,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1988-01-01,9.090909,0.012666,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1988-02-01,10.421601,0.013986,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1988-03-01,14.757615,0.01605,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1988-04-01,17.233645,0.018816,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1988-05-01,15.710034,0.021772,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1988-06-01,17.968032,0.025684,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1988-07-01,25.646317,0.032271,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1988-08-01,27.622323,0.041185,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1988-09-01,11.696006,0.046002,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1988-10-01,8.990913,0.050138,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1988-11-01,5.71024,0.053001,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1988-12-01,6.845154,0.056629,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1989-01-01,8.919458,0.06168,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1989-02-01,9.59144,0.067596,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1989-03-01,17.005444,0.079091,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1989-04-01,33.370421,0.105484,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1989-05-01,78.468773,0.188256,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1989-06-01,114.472314,0.403757,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1989-07-01,196.633866,1.19768,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1989-08-01,37.861365,1.651138,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1989-09-01,9.355366,1.805608,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1989-10-01,5.59529,1.906637,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1989-11-01,6.519018,2.030931,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1989-12-01,40.072952,2.844785,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1990-01-01,79.205107,5.098,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1990-02-01,61.569243,8.2368,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1990-03-01,95.527389,16.1052,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1990-04-01,11.372103,17.9367,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1990-05-01,13.607854,20.3775,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1990-06-01,13.897681,23.2095,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1990-07-01,10.825309,25.722,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1990-08-01,15.337843,29.6672,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1990-09-01,15.677246,34.3182,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1990-10-01,7.69038,36.9574,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1990-11-01,6.18063,39.2416,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1990-12-01,4.676415,41.0767,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1991-01-01,7.698525,44.239,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1991-02-01,26.990438,56.1793,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1991-03-01,11.042323,62.3828,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1991-04-01,5.510493,65.8204,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1991-05-01,2.804602,67.6664,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1991-06-01,3.123707,69.7801,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1991-07-01,2.590997,71.5881,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1991-08-01,1.300915,72.5194,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1991-09-01,1.766424,73.8004,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1991-10-01,1.350806,74.7973,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1991-11-01,0.388918,75.0882,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1991-12-01,0.649236,75.5757,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1992-01-01,3.042645,77.8752,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1992-02-01,2.154088,79.5527,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1992-03-01,2.099614,81.223,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1992-04-01,1.286705,82.2681,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1992-05-01,0.673043,82.8218,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1992-06-01,0.784093,83.4712,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1992-07-01,1.72874,84.9142,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1992-08-01,1.496687,86.1851,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1992-09-01,1.033821,87.0761,"Linked historical CPI, Greater Buenos Aires",argentina_datos
1960 onward,Argentina,1992-10-01,1.265904,88.1784,"Linked historical CPI, Greater Buenos Aires",argentina_datos
