era,country,date,monthly_inflation_percent,price_index,price_measure,source_id
1960 onward,Chile,1972-01-01,3.648655,0.000902185753463675,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1972-02-01,6.453727,0.000960410360389287,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1972-03-01,2.755669,0.000986876090810019,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1972-04-01,5.661519,0.00104274827206027,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1972-05-01,4.2301,0.00108685757167539,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1972-06-01,2.11037,0.00110979428695392,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1972-07-01,4.451496,0.00115919673265319,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1972-08-01,22.729594,0.00142267744739368,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1972-09-01,22.199261,0.00173850132824223,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1972-10-01,15.257098,0.00200374617392467,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1972-11-01,5.606132,0.00211607883115858,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1972-12-01,8.337967,0.00229251678287736,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1973-01-01,10.287314,0.00252835517773029,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1973-02-01,4.140492,0.00263304150994639,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1973-03-01,6.187177,0.0027959524490881,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1973-04-01,10.201947,0.0030811940428986,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1973-05-01,19.412109,0.00367931879714885,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1973-06-01,15.648972,0.00425509437759569,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1973-07-01,15.286804,0.004905562297954,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1973-08-01,17.060305,0.00574246616746597,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1973-09-01,16.888551,0.00671228547729841,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1973-10-01,87.566806,0.0125900195107602,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1973-11-01,5.699087,0.0133075357057871,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1973-12-01,4.746519,0.013939180454451,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1974-01-01,14.117561,0.01590705270177,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1974-02-01,24.475913,0.0198004490147018,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1974-03-01,14.206814,0.022613462011059,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1974-04-01,15.310787,0.0260757610654995,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1974-05-01,8.674451,0.0283376902885308,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1974-06-01,20.810257,0.0342348365416787,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1974-07-01,11.510044,0.0381752813681178,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1974-08-01,10.895083,0.0423345100682071,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1974-09-01,12.800415,0.0477535030167735,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1974-10-01,18.892572,0.0567753680839933,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1974-11-01,9.708299,0.0622872905092071,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1974-12-01,6.497132,0.0663341782662212,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1975-01-01,13.929586,0.0755742547307821,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1975-02-01,16.536164,0.0880713372323119,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1975-03-01,21.164723,0.106711391833661,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1975-04-01,20.77458,0.128880235599718,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1975-05-01,15.965797,0.149456992619874,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1975-06-01,19.768313,0.179002118302681,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1975-07-01,9.301494,0.195651989145823,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1975-08-01,8.906414,0.213077565387777,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1975-09-01,9.227484,0.232739264223356,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1975-10-01,8.410764,0.2523144136801,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1975-11-01,8.181327,0.272957080801631,Headline consumer price index,world_bank_gdoi
1960 onward,Chile,1975-12-01,7.098713,0.292333520718457,Headline consumer price index,world_bank_gdoi
