start,end,n,levels_r,first_difference_r
2012,2019,8,-0.941275645817751,-0.768242471145124
2012,2023,12,-0.810958953959842,-0.646088131454471
2020,2023,4,-0.652641133064642,-0.726658991410844
2012,2014,3,-0.95613230087177,1
2015,2019,5,-0.888856365263519,-0.778035363881566
